[4448322.298111] tg3 0000:03:00.0: eth0: 0x00000830: 0x00000000, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298114] tg3 0000:03:00.0: eth0: 0x00000840: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298244] tg3 0000:03:00.0: eth0: 0x00002250: 0x00000103, 0x00000000, 0x00000000, 0x00000000
[4448322.298246] tg3 0000:03:00.0: eth0: 0x00002400: 0x00010012, 0x00000000, 0x00480010, 0x00000000
[4448322.298249] tg3 0000:03:00.0: eth0: 0x00002410: 0x0000000f, 0x00005d00, 0x00000000, 0x00000000
[4448322.298252] tg3 0000:03:00.0: eth0: 0x00002440: 0x00000000, 0x00000000, 0x00000002, 0x00044400
[4448322.298254] tg3 0000:03:00.0: eth0: 0x00002450: 0x0000001f, 0xe9fd0000, 0x08001800, 0x00040000
[4448322.298257] tg3 0000:03:00.0: eth0: 0x00002470: 0x00000000, 0x000007a2, 0x00000000, 0x00000000
[4448322.298260] tg3 0000:03:00.0: eth0: 0x00002500: 0x00000000, 0x00000000, 0x00000002, 0x00044800
[4448322.298262] tg3 0000:03:00.0: eth0: 0x00002510: 0x00000000, 0x00000000, 0x00000002, 0x00040400
[4448322.298265] tg3 0000:03:00.0: eth0: 0x00002520: 0x00000000, 0x00000000, 0x00000002, 0x00044c00
[4448322.298267] tg3 0000:03:00.0: eth0: 0x00002530: 0x00000000, 0x00000000, 0x00000002, 0x00040800
[4448322.298270] tg3 0000:03:00.0: eth0: 0x00002540: 0x00000000, 0x00000000, 0x00000002, 0x00045000
[4448322.298273] tg3 0000:03:00.0: eth0: 0x00002550: 0x00000000, 0x00000000, 0x00000002, 0x00040c00
[4448322.298275] tg3 0000:03:00.0: eth0: 0x00002560: 0x00000000, 0x00000000, 0x00000002, 0x00045400
[4448322.298278] tg3 0000:03:00.0: eth0: 0x00002570: 0x00000000, 0x00000000, 0x00000002, 0x00041000
[4448322.298280] tg3 0000:03:00.0: eth0: 0x00002580: 0x00000000, 0x00000000, 0x00000002, 0x00045800
[4448322.298283] tg3 0000:03:00.0: eth0: 0x00002590: 0x00000000, 0x00000000, 0x00000002, 0x00041400
[4448322.298285] tg3 0000:03:00.0: eth0: 0x000025a0: 0x00000000, 0x00000000, 0x00000002, 0x00045c00
[4448322.298288] tg3 0000:03:00.0: eth0: 0x000025b0: 0x00000000, 0x00000000, 0x00000002, 0x00041800
[4448322.298291] tg3 0000:03:00.0: eth0: 0x000025c0: 0x00000000, 0x00000000, 0x00000002, 0x00046000
[4448322.298293] tg3 0000:03:00.0: eth0: 0x000025d0: 0x00000000, 0x00000000, 0x00000002, 0x00041c00
[4448322.298296] tg3 0000:03:00.0: eth0: 0x000025e0: 0x00000000, 0x00000000, 0x00000002, 0x00046400
[4448322.298298] tg3 0000:03:00.0: eth0: 0x000025f0: 0x00000000, 0x00000000, 0x00000002, 0x00042000
[4448322.298301] tg3 0000:03:00.0: eth0: 0x00002600: 0x00000000, 0x00000000, 0x00000002, 0x00046800
[4448322.298304] tg3 0000:03:00.0: eth0: 0x00002610: 0x00000000, 0x00000000, 0x00000002, 0x00042400
[4448322.298306] tg3 0000:03:00.0: eth0: 0x00002620: 0x00000000, 0x00000000, 0x00000002, 0x00046c00
[4448322.298309] tg3 0000:03:00.0: eth0: 0x00002630: 0x00000000, 0x00000000, 0x00000002, 0x00042800
[4448322.298311] tg3 0000:03:00.0: eth0: 0x00002640: 0x00000000, 0x00000000, 0x00000002, 0x00047000
[4448322.298314] tg3 0000:03:00.0: eth0: 0x00002650: 0x00000000, 0x00000000, 0x00000002, 0x00042c00
[4448322.298316] tg3 0000:03:00.0: eth0: 0x00002660: 0x00000000, 0x00000000, 0x00000002, 0x00047400
[4448322.298319] tg3 0000:03:00.0: eth0: 0x00002670: 0x00000000, 0x00000000, 0x00000002, 0x00043000
[4448322.298322] tg3 0000:03:00.0: eth0: 0x00002680: 0x00000000, 0x00000000, 0x00000002, 0x00047800
[4448322.298324] tg3 0000:03:00.0: eth0: 0x00002690: 0x00000000, 0x00000000, 0x00000002, 0x00043400
[4448322.298327] tg3 0000:03:00.0: eth0: 0x000026a0: 0x00000000, 0x00000000, 0x00000002, 0x00047c00
[4448322.298329] tg3 0000:03:00.0: eth0: 0x000026b0: 0x00000000, 0x00000000, 0x00000002, 0x00043800
[4448322.298332] tg3 0000:03:00.0: eth0: 0x000026c0: 0x00000000, 0x00000000, 0x00000002, 0x00048000
[4448322.298334] tg3 0000:03:00.0: eth0: 0x000026d0: 0x00000000, 0x00000000, 0x00000002, 0x00043c00
[4448322.298337] tg3 0000:03:00.0: eth0: 0x000026e0: 0x00000000, 0x00000000, 0x00000002, 0x00048400
[4448322.298340] tg3 0000:03:00.0: eth0: 0x000026f0: 0x00000000, 0x00000000, 0x00000002, 0x00044000
[4448322.298342] tg3 0000:03:00.0: eth0: 0x00002800: 0x00000006, 0x00000000, 0x00000000, 0x00000000
[4448322.298345] tg3 0000:03:00.0: eth0: 0x00002c00: 0x00000006, 0x00000000, 0x00000000, 0x000007a2
[4448322.298348] tg3 0000:03:00.0: eth0: 0x00002c10: 0x00000000, 0x00000000, 0x00000040, 0x00000001
[4448322.298350] tg3 0000:03:00.0: eth0: 0x00002c20: 0x00000002, 0x00000000, 0x00000000, 0x00000000
[4448322.298353] tg3 0000:03:00.0: eth0: 0x00002d00: 0x00000080, 0x00000040, 0x00000000, 0x00000000
[4448322.298356] tg3 0000:03:00.0: eth0: 0x00003000: 0x00000006, 0x00000000, 0x00000000, 0x000007a2
[4448322.298359] tg3 0000:03:00.0: eth0: 0x00003400: 0x00000006, 0x00000000, 0x00000000, 0x00000000
[4448322.298362] tg3 0000:03:00.0: eth0: 0x00003600: 0x00004600, 0x00170000, 0x00110000, 0x00000000
[4448322.298364] tg3 0000:03:00.0: eth0: 0x00003610: 0x00130000, 0x00000000, 0x00130000, 0x00000011
