[4448322.298111] tg3 0000:03:00.0: eth0: 0x00000830: 0x00000000, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298114] tg3 0000:03:00.0: eth0: 0x00000840: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[4448329.284300] tg3 0000:03:00.0: eth0: 0x000036c0: 0xffffffff, 0x00000000, 0x00000000, 0x00350bc3
[4448329.284303] tg3 0000:03:00.0: eth0: 0x000036d0: 0x000001fd, 0x00000000, 0x00000000, 0x00004d62
[4448329.284306] tg3 0000:03:00.0: eth0: 0x000036f0: 0x00000000, 0x00000000, 0x00000000, 0x00012501
[4448329.284308] tg3 0000:03:00.0: eth0: 0x00003800: 0x00000001, 0x00000000, 0x0000000e, 0x0516028b
[4448329.284311] tg3 0000:03:00.0: eth0: 0x00003810: 0x000000e3, 0x00000082, 0x00000000, 0x00000000
[4448329.284314] tg3 0000:03:00.0: eth0: 0x00003c00: 0x00000302, 0x00000000, 0x00000000, 0x00000000
[4448329.284316] tg3 0000:03:00.0: eth0: 0x00003c30: 0x00000000, 0x00000000, 0x0000001f, 0xec28c000
[4448329.284319] tg3 0000:03:00.0: eth0: 0x00003c40: 0x00000000, 0x00000b00, 0x00000000, 0x00000000
[4448329.284321] tg3 0000:03:00.0: eth0: 0x00003c50: 0x00000000, 0x000007a2, 0x00000000, 0x00000000
[4448329.284324] tg3 0000:03:00.0: eth0: 0x00003c80: 0x0000074f, 0x00000e34, 0x00000989, 0x00000896
[4448329.284327] tg3 0000:03:00.0: eth0: 0x00003cc0: 0x00000140, 0x00000000, 0x00000000, 0x00000000
[4448329.284329] tg3 0000:03:00.0: eth0: 0x00003cd0: 0x00000000, 0x0000000f, 0x00000000, 0x00000000
[4448329.284332] tg3 0000:03:00.0: eth0: 0x00003d00: 0x0000001f, 0xf04cb000, 0x0000001f, 0xf04cc000
[4448329.284335] tg3 0000:03:00.0: eth0: 0x00003d10: 0x0000001f, 0xeb153000, 0x0000001f, 0xf0498000
[4448329.284337] tg3 0000:03:00.0: eth0: 0x00003d80: 0x00000014, 0x00000048, 0x00000005, 0x00000035
[4448329.284340] tg3 0000:03:00.0: eth0: 0x00003d90: 0x00000005, 0x00000005, 0x00000014, 0x00000048
[4448329.284343] tg3 0000:03:00.0: eth0: 0x00003da0: 0x00000005, 0x00000035, 0x00000005, 0x00000005
[4448329.284345] tg3 0000:03:00.0: eth0: 0x00003db0: 0x00000014, 0x00000048, 0x00000005, 0x00000035
[4448329.284348] tg3 0000:03:00.0: eth0: 0x00003dc0: 0x00000005, 0x00000005, 0x00000014, 0x00000048
[4448329.284350] tg3 0000:03:00.0: eth0: 0x00003dd0: 0x00000005, 0x00000035, 0x00000005, 0x00000005
[4448329.284353] tg3 0000:03:00.0: eth0: 0x00003f00: 0x00000000, 0x000001f4, 0x0000013c, 0x0000015f
[4448329.284356] tg3 0000:03:00.0: eth0: 0x00003fc0: 0x00870334, 0x00000000, 0x00000000, 0x00000000
[4448329.284358] tg3 0000:03:00.0: eth0: 0x00004000: 0x00000002, 0x00000000, 0x0010d0c0, 0x000aaf35
[4448329.284361] tg3 0000:03:00.0: eth0: 0x00004010: 0x00000000, 0x0029a012, 0x00000480, 0x0200e822
[4448329.284364] tg3 0000:03:00.0: eth0: 0x00004020: 0x00000000, 0x00000000, 0x00000010, 0x00000000
[4448329.284366] tg3 0000:03:00.0: eth0: 0x00004030: 0x00000010, 0x00808910, 0x00000000, 0x00000000
[4448329.284369] tg3 0000:03:00.0: eth0: 0x00004040: 0x00000000, 0x00000000, 0x0108e620, 0x00000000
[4448329.284372] tg3 0000:03:00.0: eth0: 0x00004050: 0x00000000, 0x00000000, 0x002be010, 0x00446002
[4448329.284374] tg3 0000:03:00.0: eth0: 0x00004060: 0x00452000, 0x00000000, 0x00000000, 0x00000000
[4448329.284377] tg3 0000:03:00.0: eth0: 0x00004400: 0x80000006, 0x00000000, 0x00010000, 0x0000a000
[4448329.284380] tg3 0000:03:00.0: eth0: 0x00004410: 0x00000000, 0x0000002a, 0x000000a0, 0x00000000
[4448329.284382] tg3 0000:03:00.0: eth0: 0x00004420: 0x0000003d, 0x00000000, 0x00000000, 0x00000000
[4448329.284385] tg3 0000:03:00.0: eth0: 0x00004440: 0x00000000, 0x00000000, 0x00000000, 0x04d1344f
[4448329.284388] tg3 0000:03:00.0: eth0: 0x00004450: 0x023a0423, 0x00bf009c, 0x00000000, 0x00000000
[4448329.284390] tg3 0000:03:00.0: eth0: 0x00004800: 0x180303fe, 0x00000000, 0x00000000, 0x00000120
[4448329.284393] tg3 0000:03:00.0: eth0: 0x00004810: 0x00000000, 0x0000000b, 0x05a89c70, 0x00000000
[4448329.284396] tg3 0000:03:00.0: eth0: 0x00004820: 0x00000052, 0x00000000, 0xf0310000, 0x651c8558
[4448329.284398] tg3 0000:03:00.0: eth0: 0x00004830: 0x00000000, 0x00000381, 0x00000381, 0x00000000
[4448329.284401] tg3 0000:03:00.0: eth0: 0x00004840: 0x2321bc18, 0x2321bc18, 0x000e2200, 0x5242771d
[4448329.284404] tg3 0000:03:00.0: eth0: 0x00004850: 0xe8b51b68, 0xd63c05ea, 0x46454645, 0x00000000
[4448329.284406] tg3 0000:03:00.0: eth0: 0x00004860: 0x00000052, 0x11265010, 0x00000800, 0x36000000
[4448329.284409] tg3 0000:03:00.0: eth0: 0x00004870: 0x00000080, 0x00000000, 0x00000000, 0x00000000
[4448329.284412] tg3 0000:03:00.0: eth0: 0x00004900: 0x00090404, 0x00305407, 0x00000000, 0x00000000
[4448329.284414] tg3 0000:03:00.0: eth0: 0x00004910: 0x000f001c, 0x00000000, 0x00000000, 0x00000000
[4448329.284417] tg3 0000:03:00.0: eth0: 0x00004a00: 0x180303fe, 0x00100000, 0x00100010, 0xb6470000
[4448329.284420] tg3 0000:03:00.0: eth0: 0x00004a10: 0xf0323f00, 0x008c5914, 0x00100011, 0x00000000
[4448329.284422] tg3 0000:03:00.0: eth0: 0x00004a20: 0x00000000, 0x00000010, 0xf02c0000, 0xf0323f40
[4448329.284425] tg3 0000:03:00.0: eth0: 0x00004a30: 0x00000000, 0x00000026, 0x00000026, 0x00000000
[4448329.284428] tg3 0000:03:00.0: eth0: 0x00004a40: 0xf0323ee0, 0xf0323ef0, 0xf0323f00, 0xf0323f10
[4448329.284430] tg3 0000:03:00.0: eth0: 0x00004a50: 0x00100010, 0x00100010, 0x00100010, 0x00100010
[4448329.284433] tg3 0000:03:00.0: eth0: 0x00004a70: 0x00090404, 0x00305407, 0x000f001c, 0x00000000
[4448329.284436] tg3 0000:03:00.0: eth0: 0x00004b00: 0x180303fe, 0x00360003, 0x30000000, 0x00360120
[4448329.284438] tg3 0000:03:00.0: eth0: 0x00004b10: 0x00360040, 0x00360003, 0x0036dc78, 0x00000010
[4448329.284441] tg3 0000:03:00.0: eth0: 0x00004b20: 0x0000004e, 0x02268000, 0x7e74ccd9, 0x0f360038
[4448329.284446] tg3 0000:03:00.0: eth0: 0x00004b30: 0x90a4ecd9, 0x0f360038, 0x1148a4d9, 0x0f360038
[4448329.284449] tg3 0000:03:00.0: eth0: 0x00004b40: 0x0d0cacd9, 0x0f360038, 0x0707b0b0, 0xbbbb7272
[4448329.284452] tg3 0000:03:00.0: eth0: 0x00004b50: 0xf0330000, 0x7e74cd10, 0xaf040000, 0x4e4d004d
[4448329.284455] tg3 0000:03:00.0: eth0: 0x00004b60: 0xf0330000, 0x90a4ed10, 0xaf040000, 0x400001f4
[4448329.284458] tg3 0000:03:00.0: eth0: 0x00004b70: 0xf0330000, 0x1148a510, 0xaf040000, 0x000000ff
[4448329.284461] tg3 0000:03:00.0: eth0: 0x00004b80: 0x0000004e, 0x11265010, 0x00000800, 0x36000000
[4448329.284464] tg3 0000:03:00.0: eth0: 0x00004b90: 0x00000080, 0x00090404, 0x00305407, 0x000f001c
[4448329.284467] tg3 0000:03:00.0: eth0: 0x00004ba0: 0x00f000b6, 0x00000000, 0x00000000, 0x00000000
[4448329.284470] tg3 0000:03:00.0: eth0: 0x00004bb0: 0x662864d9, 0x4e0a34d9, 0xaf8428d9, 0xfb1360d9
[4448329.284473] tg3 0000:03:00.0: eth0: 0x00004bc0: 0x7e74ccda, 0x90a4ecda, 0x1148a4da, 0x0d0cacda
[4448329.284476] tg3 0000:03:00.0: eth0: 0x00004bd0: 0x662864da, 0x4e0a34da, 0xaf8428da, 0xfb1360da
[4448329.284479] tg3 0000:03:00.0: eth0: 0x00004be0: 0x00360036, 0x00360036, 0x00360036, 0x00360036
[4448329.284482] tg3 0000:03:00.0: eth0: 0x00004bf0: 0xf0330000, 0x0d0cad10, 0xaf040000, 0x0000ffff
[4448329.284485] tg3 0000:03:00.0: eth0: 0x00004c00: 0x200003fe, 0x00000000, 0x00000000, 0x00000000
[4448329.284488] tg3 0000:03:00.0: eth0: 0x00004c10: 0x00000000, 0x00000000, 0x00000006, 0x00000000
[4448329.284491] tg3 0000:03:00.0: eth0: 0x00004c20: 0x00000000, 0x00000000, 0x00000000, 0x00000006
[4448329.284494] tg3 0000:03:00.0: eth0: 0x00004c30: 0x00000000, 0x02624000, 0x000000d3, 0x000000d3
[4448329.284497] tg3 0000:03:00.0: eth0: 0x00004c40: 0x00000000, 0xf04cc000, 0x001d0020, 0x00040020
[4448329.284500] tg3 0000:03:00.0: eth0: 0x00004c50: 0x88e3374e, 0x0074e895, 0x96989e34, 0x21220303
[4448329.284503] tg3 0000:03:00.0: eth0: 0x00004c60: 0x00000020, 0x00000000, 0x00000000, 0x00000000
[4448329.284506] tg3 0000:03:00.0: eth0: 0x00005000: 0x00009800, 0x80000000, 0x00000000, 0x00000000
[4448329.284509] tg3 0000:03:00.0: eth0: 0x00005010: 0x00000000, 0x00000000, 0x00000000, 0x08001974
[4448329.284512] tg3 0000:03:00.0: eth0: 0x00005020: 0xafa40014, 0x00000000, 0x00000000, 0x40000020
[4448329.284515] tg3 0000:03:00.0: eth0: 0x00005030: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448329.284518] tg3 0000:03:00.0: eth0: 0x00005040: 0x00000000, 0x00000000, 0x08001b1e, 0x00000000
[4448329.284521] tg3 0000:03:00.0: eth0: 0x00005080: 0x00009800, 0x80004000, 0x00000000, 0x00000000
[4448329.284524] tg3 0000:03:00.0: eth0: 0x00005090: 0x00000000, 0x00000000, 0x00000000, 0x08001968
[4448329.284527] tg3 0000:03:00.0: eth0: 0x000050a0: 0x10400014, 0x00000000, 0x00000000, 0x40000020
[4448329.284530] tg3 0000:03:00.0: eth0: 0x000050b0: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448329.284533] tg3 0000:03:00.0: eth0: 0x000050c0: 0x00000000, 0x00000000, 0x08001b1e, 0x00000000
[4448329.284536] tg3 0000:03:00.0: eth0: 0x00005100: 0x00009800, 0x80000000, 0x00000000, 0x00000000
[4448329.284539] tg3 0000:03:00.0: eth0: 0x00005110: 0x00000000, 0x00000000, 0x00000000, 0x08002078
[4448329.284542] tg3 0000:03:00.0: eth0: 0x00005120: 0xafa40000, 0x00000000, 0x00000000, 0x40000020
[4448329.284545] tg3 0000:03:00.0: eth0: 0x00005130: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448329.284548] tg3 0000:03:00.0: eth0: 0x00005140: 0x00000000, 0x00000000, 0x08001ac6, 0x00000000
[4448329.284551] tg3 0000:03:00.0: eth0: 0x00005180: 0x00009800, 0x80004000, 0x00000000, 0x00000000
[4448329.284554] tg3 0000:03:00.0: eth0: 0x00005190: 0x00000000, 0x00000000, 0x00000000, 0x08002060
[4448329.284557] tg3 0000:03:00.0: eth0: 0x000051a0: 0x0e000659, 0x00000000, 0x00000000, 0x40000020
[4448329.284560] tg3 0000:03:00.0: eth0: 0x000051b0: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448329.284563] tg3 0000:03:00.0: eth0: 0x000051c0: 0x00000000, 0x00000000, 0x08002794, 0x00000000
[4448329.284566] tg3 0000:03:00.0: eth0: 0x00005200: 0x00000000, 0x00000000, 0x00000000, 0x08006f90
[4448329.284569] tg3 0000:03:00.0: eth0: 0x00005210: 0x146001a5, 0x00831824, 0x08000000, 0x08000000
[4448329.284571] tg3 0000:03:00.0: eth0: 0x00005220: 0xaea02d88, 0x02ed9b6d, 0x06000000, 0x00000000
[4448329.284574] tg3 0000:03:00.0: eth0: 0x00005230: 0x00000000, 0x00000000, 0x08000000, 0x02ed9b6d
[4448329.284576] tg3 0000:03:00.0: eth0: 0x00005240: 0x06000000, 0x00000000, 0x08000000, 0x00000000
[4448329.284579] tg3 0000:03:00.0: eth0: 0x00005250: 0x08000000, 0x02ed9b6d, 0x06000000, 0x00000000
[4448329.284582] tg3 0000:03:00.0: eth0: 0x00005260: 0x08000000, 0x00000000, 0x08000000, 0x02ed9b6d
[4448329.284584] tg3 0000:03:00.0: eth0: 0x00005270: 0x06000000, 0x00000000, 0x00000000, 0x00000000
[4448329.284587] tg3 0000:03:00.0: eth0: 0x00005280: 0x00009800, 0x80004000, 0x00000000, 0x00000000
[4448329.284590] tg3 0000:03:00.0: eth0: 0x00005290: 0x00000000, 0x00000000, 0x00000000, 0x08001968
[4448329.284592] tg3 0000:03:00.0: eth0: 0x000052a0: 0x10400014, 0x00000000, 0x00000000, 0x40000020
[4448329.284595] tg3 0000:03:00.0: eth0: 0x000052b0: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448329.284597] tg3 0000:03:00.0: eth0: 0x000052c0: 0x00000000, 0x00000000, 0x08001b1e, 0x00000000
[4448329.284600] tg3 0000:03:00.0: eth0: 0x00005300: 0x00009800, 0x80000000, 0x00000000, 0x00000000
[4448329.284603] tg3 0000:03:00.0: eth0: 0x00005310: 0x00000000, 0x00000000, 0x00000000, 0x08002078
[4448329.284605] tg3 0000:03:00.0: eth0: 0x00005320: 0xafa40000, 0x00000000, 0x00000000, 0x40000020
[4448329.284608] tg3 0000:03:00.0: eth0: 0x00005330: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448329.284611] tg3 0000:03:00.0: eth0: 0x00005340: 0x00000000, 0x00000000, 0x08001ac6, 0x00000000
[4448329.284613] tg3 0000:03:00.0: eth0: 0x00005380: 0x00009800, 0x80004000, 0x00000000, 0x00000000
[4448329.284616] tg3 0000:03:00.0: eth0: 0x00005390: 0x00000000, 0x00000000, 0x00000000, 0x08002060
[4448329.284618] tg3 0000:03:00.0: eth0: 0x000053a0: 0x0e00063f, 0x00000000, 0x00000000, 0x40000020
[4448329.284621] tg3 0000:03:00.0: eth0: 0x000053b0: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448329.284624] tg3 0000:03:00.0: eth0: 0x000053c0: 0x00000000, 0x00000000, 0x08002794, 0x00000000
[4448329.284627] tg3 0000:03:00.0: eth0: 0x00005800: 0x03000000, 0x03000000, 0x66000000, 0x00000000
[4448329.284629] tg3 0000:03:00.0: eth0: 0x00005810: 0x5a000000, 0x00000000, 0x00000001, 0x00000000
[4448329.284632] tg3 0000:03:00.0: eth0: 0x00005820: 0x5d000000, 0x00000000, 0x00000000, 0x00000000
[4448329.284634] tg3 0000:03:00.0: eth0: 0x00005860: 0x00000000, 0x00000000, 0x000007e1, 0x000007e1
[4448329.284637] tg3 0000:03:00.0: eth0: 0x00005880: 0x0000074f, 0x0000074f, 0x00000e34, 0x00000e34
[4448329.284640] tg3 0000:03:00.0: eth0: 0x00005890: 0x000007b7, 0x000007b7, 0x00000896, 0x00000896
[4448329.284642] tg3 0000:03:00.0: eth0: 0x00005900: 0x00000140, 0x00000140, 0x0000013c, 0x0000015f
[4448329.284645] tg3 0000:03:00.0: eth0: 0x00005980: 0x00000140, 0x000001f4, 0x0000013c, 0x0000015f
[4448329.284648] tg3 0000:03:00.0: eth0: 0x00005a00: 0x000f601f, 0x00000000, 0x00010000, 0x00000000
[4448329.284650] tg3 0000:03:00.0: eth0: 0x00006000: 0x00010082, 0x00000000, 0x00000000, 0x00000000
[4448329.284653] tg3 0000:03:00.0: eth0: 0x00006400: 0x00000000, 0x00000000, 0x00010891, 0xc0000000
[4448329.284656] tg3 0000:03:00.0: eth0: 0x00006410: 0x0a000064, 0x0a000064, 0x00000000, 0x00000000
[4448329.284659] tg3 0000:03:00.0: eth0: 0x00006420: 0x00000000, 0x00000000, 0x00000000, 0x81640000
[4448329.284661] tg3 0000:03:00.0: eth0: 0x00006430: 0x78000000, 0x14e41657, 0x169d103c, 0x01020000
[4448329.284664] tg3 0000:03:00.0: eth0: 0x00006440: 0x0000304f, 0x000002e4, 0x00000000, 0x00000000
[4448329.284667] tg3 0000:03:00.0: eth0: 0x000064c0: 0x00000010, 0x00000004, 0x00001004, 0x00000000
[4448329.284669] tg3 0000:03:00.0: eth0: 0x000064d0: 0x00000000, 0x10008d81, 0x00000000, 0x00315e42
[4448329.284672] tg3 0000:03:00.0: eth0: 0x000064e0: 0x00000031, 0x0000001f, 0x00000000, 0x00000000
[4448329.284674] tg3 0000:03:00.0: eth0: 0x000064f0: 0x00000002, 0x00000031, 0x00000000, 0x00000000
[4448329.284677] tg3 0000:03:00.0: eth0: 0x00006500: 0x01e10003, 0x239cead8, 0x00002880, 0x00000003
[4448329.284680] tg3 0000:03:00.0: eth0: 0x00006510: 0x0007812c, 0x00058116, 0x0004610a, 0x00000000
[4448329.284682] tg3 0000:03:00.0: eth0: 0x00006550: 0x00000001, 0x02800000, 0x00000000, 0x00000000
[4448329.284685] tg3 0000:03:00.0: eth0: 0x000065f0: 0x00000000, 0x00000109, 0x00000000, 0x00000000
[4448329.284688] tg3 0000:03:00.0: eth0: 0x00006800: 0x041b0034, 0x20089082, 0x01069208, 0xc665892d
[4448329.284690] tg3 0000:03:00.0: eth0: 0x00006810: 0x21020010, 0xffffffff, 0x00000000, 0x00000000
[4448329.284693] tg3 0000:03:00.0: eth0: 0x00006830: 0xffffffff, 0xffffffff, 0x00000000, 0x00000000
[4448329.284696] tg3 0000:03:00.0: eth0: 0x00006840: 0x00000000, 0x00000001, 0x00000000, 0x00000000
[4448329.284698] tg3 0000:03:00.0: eth0: 0x00006890: 0x00000000, 0x88003800, 0x00000000, 0x04102040
[4448329.284701] tg3 0000:03:00.0: eth0: 0x000068a0: 0x00000020, 0x00000001, 0x03ff03ff, 0x00000000
[4448329.284704] tg3 0000:03:00.0: eth0: 0x000068b0: 0xe0011514, 0x00000000, 0x00000000, 0x00000000
[4448329.284706] tg3 0000:03:00.0: eth0: 0x000068e0: 0x00000000, 0x00000000, 0x00000000, 0x00004954
[4448329.284709] tg3 0000:03:00.0: eth0: 0x000068f0: 0x00ff000e, 0x00ff0000, 0x00000000, 0x04444444
[4448329.284711] tg3 0000:03:00.0: eth0: 0x00006900: 0xeb459d70, 0x13ca5c70, 0x00000000, 0x00000000
[4448329.284714] tg3 0000:03:00.0: eth0: 0x00006920: 0x00000000, 0x00000000, 0x00000001, 0x00000000
[4448329.284717] tg3 0000:03:00.0: eth0: 0x00007000: 0x00000188, 0x00000000, 0x00000000, 0x0004aa48
[4448329.284720] tg3 0000:03:00.0: eth0: 0x00007010: 0x00000078, 0x01008073, 0x00d70081, 0x03008200
[4448329.284722] tg3 0000:03:00.0: eth0: 0x00007020: 0x00000000, 0x00000000, 0x00000406, 0x10004000
[4448329.284725] tg3 0000:03:00.0: eth0: 0x00007030: 0x00020000, 0x0004aa4c, 0x001f0000, 0x00000000
[4448329.284729] tg3 0000:03:00.0: eth0: 0: Host status block [00000005:00000003:(0000:0000:0000):(0000:0000)]
[4448329.284733] tg3 0000:03:00.0: eth0: 0: NAPI info [00000003:00000003:(0000:0000:01ff):0000:(07e1:0000:0000:0000)]
[4448329.284736] tg3 0000:03:00.0: eth0: 1: Host status block [00000001:00000066:(0000:0000:0000):(074f:0140)]
[4448329.284740] tg3 0000:03:00.0: eth0: 1: NAPI info [00000066:00000066:(0140:0140:01ff):074f:(074f:055c:0000:0000)]
[4448329.284743] tg3 0000:03:00.0: eth0: 2: Host status block [00000001:0000005a:(0e34:0000:0000):(0000:01f4)]
[4448329.284746] tg3 0000:03:00.0: eth0: 2: NAPI info [0000005a:0000005a:(01f4:01f4:01ff):0e34:(0634:0439:0000:0000)]
[4448329.284750] tg3 0000:03:00.0: eth0: 3: Host status block [00000001:00000024:(0000:0000:0000):(0000:013c)]
[4448329.284753] tg3 0000:03:00.0: eth0: 3: NAPI info [0000001c:0000001c:(013c:0150:01ff):07b7:(07b7:07b7:0000:0000)]
[4448329.284756] tg3 0000:03:00.0: eth0: 4: Host status block [00000001:0000004d:(0000:0000:0896):(0000:015f)]
[4448329.284760] tg3 0000:03:00.0: eth0: 4: NAPI info [0000005d:0000005d:(015f:0173:01ff):0896:(0096:0696:0000:0000)]
[4448335.016918] tg3 0000:03:00.0: eth0: transmit timed out, resetting
[4448336.269825] tg3 0000:03:00.0: eth0: 0x00000000: 0x165714e4, 0x00100446, 0x02000001, 0x00800010
[4448336.269828] tg3 0000:03:00.0: eth0: 0x00000010: 0xf6bf000c, 0x00000000, 0xf6be000c, 0x00000000
[4448336.269831] tg3 0000:03:00.0: eth0: 0x00000020: 0xf6bd000c, 0x00000000, 0x00000000, 0x169d103c
[4448336.269833] tg3 0000:03:00.0: eth0: 0x00000030: 0x00000000, 0x00000048, 0x00000000, 0x00000105
[4448336.269836] tg3 0000:03:00.0: eth0: 0x00000040: 0x00000000, 0x03000000, 0xc8035001, 0x64002008
[4448336.269839] tg3 0000:03:00.0: eth0: 0x00000050: 0x81645803, 0x78000000, 0x0086a005, 0x00000000
[4448336.269841] tg3 0000:03:00.0: eth0: 0x00000060: 0x00000000, 0x00000000, 0xf0010298, 0x00380081
[4448336.269844] tg3 0000:03:00.0: eth0: 0x00000070: 0x000710b0, 0x20400100, 0x00007020, 0x00000000
[4448336.269847] tg3 0000:03:00.0: eth0: 0x00000080: 0x00000000, 0x40000040, 0x00000000, 0x0000074f
[4448336.269849] tg3 0000:03:00.0: eth0: 0x00000090: 0x00000000, 0x00000000, 0x00000000, 0x000007e1
[4448336.269852] tg3 0000:03:00.0: eth0: 0x000000a0: 0x8010ac11, 0x00000004, 0x00001004, 0x00020010
[4448336.269854] tg3 0000:03:00.0: eth0: 0x000000b0: 0x10008d81, 0x00105426, 0x00055c42, 0x10420000
[4448336.269857] tg3 0000:03:00.0: eth0: 0x000000d0: 0x0000001f, 0x00000000, 0x00000000, 0x00000001
[4448336.269860] tg3 0000:03:00.0: eth0: 0x000000f0: 0x00000000, 0x05719001, 0x00000000, 0x000efce1
[4448336.269862] tg3 0000:03:00.0: eth0: 0x00000100: 0x13c10001, 0x00100000, 0x00100000, 0x00000020
[4448336.269865] tg3 0000:03:00.0: eth0: 0x00000110: 0x00002000, 0x00000000, 0x000000a0, 0x04000001
[4448336.269868] tg3 0000:03:00.0: eth0: 0x00000120: 0x0010000f, 0x03070000, 0x00000000, 0x00000000
[4448336.269870] tg3 0000:03:00.0: eth0: 0x00000130: 0x00000000, 0x00000000, 0x00000000, 0x15010003
[4448336.269873] tg3 0000:03:00.0: eth0: 0x00000140: 0x239cead8, 0x00002880, 0x00000000, 0x00000000
[4448336.269876] tg3 0000:03:00.0: eth0: 0x00000150: 0x16010004, 0x00000000, 0x0007812c, 0x00000001
[4448336.269878] tg3 0000:03:00.0: eth0: 0x00000160: 0x00010002, 0x00000000, 0x00000000, 0x00000000
[4448336.269881] tg3 0000:03:00.0: eth0: 0x00000170: 0x00000000, 0x800000ff, 0x00000000, 0x00000000
[4448336.269884] tg3 0000:03:00.0: eth0: 0x00000200: 0x00000000, 0x03000000, 0x00000000, 0x66000000
[4448336.269886] tg3 0000:03:00.0: eth0: 0x00000210: 0x00000000, 0x5a000000, 0x00000000, 0x00000001
[4448336.269889] tg3 0000:03:00.0: eth0: 0x00000220: 0x00000000, 0x5d000000, 0x00000000, 0x00000000
[4448336.269892] tg3 0000:03:00.0: eth0: 0x00000260: 0x00000000, 0x00000000, 0x00000000, 0x000007e1
[4448336.269894] tg3 0000:03:00.0: eth0: 0x00000280: 0x00000000, 0x0000074f, 0x00000000, 0x00000e34
[4448336.269897] tg3 0000:03:00.0: eth0: 0x00000290: 0x00000000, 0x000007b7, 0x00000000, 0x00000896
[4448336.269900] tg3 0000:03:00.0: eth0: 0x00000300: 0x000001f4, 0x00000140, 0x0000015f, 0x0000013c
[4448336.269902] tg3 0000:03:00.0: eth0: 0x00000400: 0x18e04808, 0x00400000, 0x00001000, 0x00000880
[4448336.269905] tg3 0000:03:00.0: eth0: 0x00000410: 0x00002880, 0x239cead8, 0x00002880, 0x239cead8
[4448336.269908] tg3 0000:03:00.0: eth0: 0x00000420: 0x00002880, 0x239cead8, 0x00002880, 0x239cead8
[4448336.269910] tg3 0000:03:00.0: eth0: 0x00000430: 0x00000400, 0x00000000, 0x000003a4, 0x000005f2
[4448336.269913] tg3 0000:03:00.0: eth0: 0x00000440: 0x00000000, 0x00000000, 0x00000000, 0x082a3800
[4448336.269916] tg3 0000:03:00.0: eth0: 0x00000450: 0x00000001, 0x00008000, 0x00000000, 0x00000102
[4448336.269918] tg3 0000:03:00.0: eth0: 0x00000460: 0x00000008, 0x00002620, 0x01ff0002, 0x00000000
[4448336.269921] tg3 0000:03:00.0: eth0: 0x00000470: 0x00000000, 0x10000000, 0x00000400, 0x40000002
[4448336.269924] tg3 0000:03:00.0: eth0: 0x00000480: 0x42000000, 0x7fffffff, 0x06000004, 0x7fffffff
[4448336.269926] tg3 0000:03:00.0: eth0: 0x00000500: 0x00000008, 0x00000002, 0x00000000, 0x00000000
[4448336.269929] tg3 0000:03:00.0: eth0: 0x00000540: 0x00003863, 0xbb45c53f, 0x00000000, 0x00000000
[4448336.269931] tg3 0000:03:00.0: eth0: 0x00000590: 0x00e00000, 0x00000000, 0x00000000, 0x00000000
[4448336.269934] tg3 0000:03:00.0: eth0: 0x000005b0: 0x00000000, 0xc0000000, 0x00000000, 0x00000000
[4448336.269937] tg3 0000:03:00.0: eth0: 0x000005c0: 0xac5bdfb8, 0x2bec3f83, 0x00000000, 0x00000000
[4448336.269939] tg3 0000:03:00.0: eth0: 0x00000600: 0xffffffff, 0x00f80011, 0x00000000, 0x00001f0c
[4448336.269942] tg3 0000:03:00.0: eth0: 0x00000610: 0xffffffff, 0x00000000, 0x07c00004, 0x30000000
[4448336.269945] tg3 0000:03:00.0: eth0: 0x00000620: 0x00000040, 0x00000000, 0x00000000, 0x00000000
[4448336.269947] tg3 0000:03:00.0: eth0: 0x00000630: 0x01230123, 0x01230123, 0x01230123, 0x01230123
[4448336.269950] tg3 0000:03:00.0: eth0: 0x00000640: 0x01230123, 0x01230123, 0x01230123, 0x01230123
[4448336.269953] tg3 0000:03:00.0: eth0: 0x00000650: 0x01230123, 0x01230123, 0x01230123, 0x01230123
[4448336.269955] tg3 0000:03:00.0: eth0: 0x00000660: 0x01230123, 0x01230123, 0x01230123, 0x01230123
[4448336.269958] tg3 0000:03:00.0: eth0: 0x00000670: 0x5f865437, 0xe4ac62cc, 0x50103a45, 0x36621985
[4448336.269961] tg3 0000:03:00.0: eth0: 0x00000680: 0xbf14c0e8, 0x1bc27a1e, 0x84f4b556, 0x094ea6fe
[4448336.269963] tg3 0000:03:00.0: eth0: 0x00000690: 0x7dda01e7, 0xc04d7481, 0x00000000, 0x00000000
[4448336.269966] tg3 0000:03:00.0: eth0: 0x000006c0: 0x00000000, 0x00000000, 0x04000000, 0x00000000
[4448336.269969] tg3 0000:03:00.0: eth0: 0x00000800: 0x00000000, 0xffffffff, 0x00000000, 0x00000000
[4448336.269971] tg3 0000:03:00.0: eth0: 0x00000810: 0x00000000, 0xffffffff, 0x00000000, 0x00000000
